set Days := Monday Tuesday Wednesday Thursday Friday Saturday Sunday;
set Halls := Frank Frary Collins Hoch McConnell Mallot;
set Restrictions := None Vegan Allergies;
set Meals := Breakfast Brunch Lunch Dinner;
set Locations := Pomona Scripps CMC Pitzer Mudd;

param waitTime :=
[Breakfast, *]		Frank 0.1 Frary 0.1 Collins 0.1 Hoch 0.1 McConnell 0.1 Mallot 0.1
[Brunch, *]	Frank 10 Frary 2 Collins 2 Hoch 5 McConnell 2 Mallot 15
[Lunch, *]		Frank 5 Frary 5 Collins 2 Hoch 10 McConnell 7 Mallot 5
[Dinner, *]	Frank 5 Frary 5 Collins 2 Hoch 10 McConnell 7 Mallot 10;

param options :=
[Breakfast, None, *] Frank 6 Frary 6 Collins 4 Hoch 3 McConnell 3 Mallot 4
[Breakfast, Vegan, *] Frank 1 Frary 1 Collins 1 Hoch 2 McConnell 0 Mallot 1
[Breakfast, Allergies, *] Frank 1 Frary 1 Collins 0 Hoch 0 McConnell 0 Mallot 0
[Brunch, None, *] Frank 9 Frary 6 Collins 5 Hoch 8 McConnell 3 Mallot 7
[Brunch, Vegan, *] Frank 2 Frary 1 Collins 1 Hoch 1 McConnell 0 Mallot 0 
[Brunch, Allergies, *] Frank 1 Frary 1 Collins 1 Hoch 4 McConnell 0 Mallot 3
[Lunch, None, *] Frank 6 Frary 5 Collins 9 Hoch 10 McConnell 5 Mallot 7
[Lunch, Vegan, *] Frank 1 Frary 1 Collins 1 Hoch 5 McConnell 1 Mallot 2
[Lunch, Allergies, *] Frank 1 Frary 0 Collins 2 Hoch 1 McConnell 0 Mallot 1
[Dinner, None, *] Frank 6 Frary 6 Collins 8 Hoch 12 McConnell 7 Mallot 8
[Dinner, Vegan, *] Frank 2 Frary 2 Collins 2 Hoch 5 McConnell 2 Mallot 2
[Dinner, Allergies, *] Frank 1 Frary 0 Collins 1 Hoch 1 McConnell 0 Mallot 1;

param quality :=
[Breakfast, None, *] Frank .81 Frary .78 Collins .65 Hoch .95 McConnell .92 Mallot 1
[Breakfast, Vegan, *] Frank .76 Frary .65 Collins .53 Hoch .62 McConnell .83 Mallot 1
[Breakfast, Allergies, *] Frank .65 Frary .32 Collins .43 Hoch .69 McConnell 1 Mallot .93
[Brunch, None, *] Frank .81 Frary .78 Collins .65 Hoch .95 McConnell .92 Mallot 1
[Brunch, Vegan, *] Frank .76 Frary .65 Collins .53 Hoch .62 McConnell .83 Mallot 1 
[Brunch, Allergies, *] Frank .65 Frary .32 Collins .43 Hoch .69 McConnell 1 Mallot .93
[Lunch, None, *] Frank .81 Frary .75 Collins .75 Hoch 1 McConnell .98 Mallot .95
[Lunch, Vegan, *] Frank .72 Frary .64 Collins .64 Hoch .64 McConnell .88 Mallot 1
[Lunch, Allergies, *] Frank .37 Frary .22 Collins .32 Hoch .67 McConnell 1 Mallot .83
[Dinner, None, *] Frank .73 Frary .67 Collins .72 Hoch 1 McConnell .89 Mallot .87
[Dinner, Vegan, *] Frank .75 Frary .58 Collins .73 Hoch .83 McConnell .94 Mallot 1
[Dinner, Allergies, *] Frank .52 Frary .19 Collins .66 Hoch .77 McConnell 1 Mallot .81;

param proximity :=
[*, Pomona] Frank 4 Frary 4 Collins 8 Hoch 13 McConnell 15 Mallot 7
